ID,regnum,regnum2,name1,name2
H4P00022,631,631,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,632,632,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,633,633,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,639,639,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,664,664,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,665,665,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,680(†),680,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,685(†),685,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,686,686,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,696,696,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,697(†),697,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,704,704,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
